"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0050991-PT,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Regina,Saskatchewan,
CI-0073084,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Lloydminster,Alberta,
CI-0073084,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Lloydminster,Alberta,
CI-0073084,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Lloydminster,Alberta,
CI-0037589,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Delta,British Columbia,
CI-0098496,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0098496,Virgin Plus,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0098496,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0073621,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0080938,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Trail,British Columbia,
CI-0028477,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Oshawa,Ontario,
CI-0045223,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary,Alberta,
CI-0013633,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Edmonton,Alberta,
CI-0081975,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,London,Ontario,
CI-0044499,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,London,Ontario,
CI-0098948,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Mayerthorpe,Alberta,
CI-0072758,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Maple Ridge ,British Columbia,
CI-0088575,Koodo,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Etobicoke ,Ontario,
CI-0015006,TELUS Communications Inc.,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Eckville,Alberta,
CI-0007617,Shaw,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Saskatoon,Saskatchewan,
CI-0055784,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Chatham,Ontario,
CI-0075652,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Montreal,Quebec,
CI-0094819,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Maple Ridge,British Columbia,
CI-0024685,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Armstrong ,British Columbia,
CI-0099240,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Small Business,Kamloops,British Columbia,
CI-0033283,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Laval,Quebec,
CI-0006777,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,New Westminster,British Columbia,
CI-0077125,Vidéotron,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Brossard,Quebec,
CI-0071759,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Calgary,Alberta,
CI-0005495,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Ponoka,Alberta,
CI-0009304,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Montreal,Quebec,
CI-0011661,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,London,Ontario,
CI-0079178,Vidéotron,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Mascouche,Quebec,
CI-0041784,Fido,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Bradford,Ontario,
CI-0012918,Fizz,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Montreal,Quebec,
CI-0064001,Shaw,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,thunder bay,Ontario,
CI-0082105,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Lévis,Quebec,
CI-0033630,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Abbotsford,British Columbia,
CI-0023554-PT,Bell Canada,TV,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Toronto,Ontario,
CI-0009817,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sudbury,Ontario,
CI-0041513,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Thunder Bay,Ontario,
CI-0013270,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Langley,British Columbia,
CI-0000698,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0004729,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Mississauga,Ontario,
CI-0004729,Virgin Plus,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga,Ontario,
CI-0001283,Cogeco Connexion (Ontario),Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Petawawa,Ontario,
CI-0087344-PT,Fizz,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Burnaby,British Columbia,
CI-0069801,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Sainte-Catherine,Quebec,
CI-0027374,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Vancouver,British Columbia,
CI-0042183,Altima Telecom,Long distance services (including prepaid calling cards),Service Delivery,Service not working,Intermittent service,Consumer,Oakville,Ontario,
CI-0054041,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Niagara falls,Ontario,
CI-0061220,Shaw,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Calgary,Alberta,
CI-0061220,Shaw,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary,Alberta,
CI-0022173,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Richmond,British Columbia,
CI-0022173,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Richmond,British Columbia,
CI-0029192-PT,Koodo,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga,Ontario,
CI-0095524,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,Vancouver,British Columbia,
CI-0085574,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Halifax,Nova Scotia,
CI-0019290,Fongo Home Phone,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0019290,Fongo Home Phone,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0019290,Fongo Home Phone,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Toronto,Ontario,
CI-0060515,Fizz,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Montreal,Quebec,
CI-0042003,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Markham,Ontario,
CI-0088394,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Mississauga,Ontario,
CI-0041664-PT,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Toronto,Ontario,
CI-0069801,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Sainte-Catherine,Quebec,
CI-0062064,Koodo,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mississauga ,Ontario,
CI-0050985,TELUS Communications Inc.,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Airdrie,Alberta,
CI-0001284,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Mississauga,Ontario,
CI-0001284,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0016781,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Orillia,Ontario,
CI-0075801,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0075801,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0075784,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Cornwall,Ontario,
CI-0019745,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0008233,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Vancouver,British Columbia,
CI-0008233,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Vancouver,British Columbia,
CI-0054756,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Moncton,New Brunswick,
CI-0054756,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Moncton,New Brunswick,
CI-0089986-PT,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Small Business,Toronto,Ontario,
CI-0015429,Virgin Plus,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Vancouver,British Columbia,
CI-0023249-PT,Fizz,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Small Business,Toronto,Ontario,
CI-0007267,Fizz,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,coquitlam,British Columbia,
CI-0081193,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Brossard,Quebec,
CI-0021467,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Etobicoke,Ontario,
CI-0056467,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Calgary,Alberta,
CI-0056467,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Calgary,Alberta,
CI-0006543,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Saanichton,British Columbia,
CI-0066762,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary ,Alberta,
CI-0099911,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0040744,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Airdrie,Alberta,
CI-0048242,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,New Maryland,New Brunswick,
CI-0094962,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Port Severn ,Ontario,
CI-0070651,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Montreal,Quebec,
CI-0052864,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Winnipeg,Manitoba,
CI-0041171,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Farnham ,Quebec,
CI-0027403,Vidéotron,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,riviere-du-loup,Quebec,
CI-0027403,Vidéotron,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,riviere-du-loup,Quebec,
CI-0018374,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Crabtree,Quebec,
CI-0054348,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Calgary,Alberta,
CI-0033949,Shaw,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mission,British Columbia,
CI-0033949,Shaw,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mission,British Columbia,
